"id" ,"cliente"                     ,"valor_pago" ,"produto"             ,"data_pagamento" ,"status_entrega"
   1 ,"Mariah Aparecida"            ,     4237.67 ,"Ferramenta"          ,"2020-07-21"     ,"Entregue"
   2 ,"Raquel Guerra"               ,     1368.69 ,"Utensílio Doméstico" ,"2024-07-04"     ,"Extraviado"
   3 ,"Rhavi Fogaça"                ,     2084.18 ,"Ferramenta"          ,"2022-07-02"     ,"Extraviado"
   4 ,"Thiago Carvalho"             ,     1854.44 ,"Brinquedo"           ,"2020-09-09"     ,"Devolvido"
   6 ,"Clara das Neves"             ,     3130.01 ,"Ferramenta"          ,"2019-08-05"     ,"Devolvido"
   7 ,"Lucas Melo"                  ,     4915.65 ,"Utensílio Doméstico" ,"2022-05-11"     ,"Em Devolução"
   8 ,"Dr. Levi Pimenta"            ,     1619.72 ,"Utensílio Doméstico" ,"2022-11-04"     ,"Entregue"
   9 ,"Yuri Mendes"                 ,     4504.31 ,"Utensílio Doméstico" ,"2021-08-27"     ,"Cancelado"
  10 ,"Joana Araújo"                ,     2413.5  ,"Brinquedo"           ,"2023-10-30"     ,"Cancelado"
  11 ,"Alice Borges"                ,     2227.44 ,"Utensílio Doméstico" ,"2023-04-26"     ,"Em Devolução"
  12 ,"Agatha Pimenta"              ,     4836.37 ,"Ferramenta"          ,"2021-12-17"     ,"Extraviado"
  13 ,"Sr. Luan Santos"             ,     4340.02 ,"Ferramenta"          ,"2024-03-22"     ,"Entregue"
  14 ,"Henry da Costa"              ,     4044.64 ,"Utensílio Doméstico" ,"2023-10-27"     ,"Entregue"
  16 ,"Dr. Cauê da Rosa"            ,     3098.3  ,"Ferramenta"          ,"2022-04-22"     ,"Em Devolução"
  17 ,"Srta. Lívia Nogueira"        ,     3678.37 ,"Utensílio Doméstico" ,"2020-03-21"     ,"Entregue"
  18 ,"Laura Macedo"                ,     1036.23 ,"Utensílio Doméstico" ,"2019-07-20"     ,"Em Devolução"
  19 ,"Luiza Oliveira"              ,     1269.22 ,"Brinquedo"           ,"2020-06-14"     ,"Devolvido"
  20 ,"Gabriel Cirino"              ,     2295.05 ,"Brinquedo"           ,"2019-03-14"     ,"Cancelado"
  21 ,"Joana Melo"                  ,     4387.93 ,"Ferramenta"          ,"2019-06-01"     ,"Entregue"
  22 ,"Caroline Cassiano"           ,     1577.09 ,"Ferramenta"          ,"2024-07-16"     ,"Entregue"
  23 ,"Vitor Hugo Rodrigues"        ,     2782.46 ,"Utensílio Doméstico" ,"2021-05-07"     ,"Em Devolução"
  24 ,"Dra. Kamilly Moreira"        ,     4822.81 ,"Utensílio Doméstico" ,"2023-11-14"     ,"Devolvido"
  25 ,"Otto Pacheco"                ,     2979.32 ,"Ferramenta"          ,"2020-08-25"     ,"Entregue"
  26 ,"Maria Alice Barros"          ,     3021.81 ,"Ferramenta"          ,"2020-12-11"     ,"Cancelado"
  27 ,"Ryan Pastor"                 ,     2920.69 ,"Ferramenta"          ,"2022-10-12"     ,"Em Devolução"
  28 ,"Joaquim Almeida"             ,     1028.02 ,"Brinquedo"           ,"2023-05-22"     ,"Entregue"
  29 ,"Henry Freitas"               ,     3102.59 ,"Utensílio Doméstico" ,"2023-10-07"     ,"Cancelado"
  30 ,"Dr. Bento Brito"             ,     2435    ,"Brinquedo"           ,"2023-09-12"     ,"Em Devolução"
  31 ,"Srta. Ana Clara Oliveira"    ,     4396.17 ,"Brinquedo"           ,"2022-10-21"     ,"Entregue"
  32 ,"Ana Sophia Alves"            ,     4501.05 ,"Utensílio Doméstico" ,"2019-09-30"     ,"Extraviado"
  33 ,"Dante Gonçalves"             ,     4205.54 ,"Utensílio Doméstico" ,"2019-07-20"     ,"Cancelado"
  34 ,"Arthur Miguel Pereira"       ,     2656.77 ,"Brinquedo"           ,"2019-02-17"     ,"Em Devolução"
  35 ,"Davi Mendes"                 ,     4485.69 ,"Utensílio Doméstico" ,"2020-04-06"     ,"Extraviado"
  36 ,"Antônio Nogueira"            ,     2940.51 ,"Ferramenta"          ,"2021-07-21"     ,"Extraviado"
  37 ,"José Pedro Azevedo"          ,     3335.2  ,"Utensílio Doméstico" ,"2020-04-28"     ,"Cancelado"
  39 ,"Theodoro Martins"            ,     2483.58 ,"Utensílio Doméstico" ,"2019-03-28"     ,"Cancelado"
  40 ,"Matteo Costa"                ,     4240.88 ,"Brinquedo"           ,"2020-07-23"     ,"Entregue"
  41 ,"Sra. Eloá Sampaio"           ,     3684.3  ,"Brinquedo"           ,"2023-01-13"     ,"Em Devolução"
  42 ,"Emanuel Castro"              ,     1923.09 ,"Brinquedo"           ,"2021-01-20"     ,"Cancelado"
  43 ,"Dante Peixoto"               ,     2188.04 ,"Brinquedo"           ,"2024-07-11"     ,"Entregue"
  44 ,"Emanuella Albuquerque"       ,     3937.28 ,"Utensílio Doméstico" ,"2021-10-30"     ,"Em Devolução"
  46 ,"Isis Cassiano"               ,     3050.64 ,"Brinquedo"           ,"2022-05-13"     ,"Entregue"
  48 ,"Srta. Ísis da Mota"          ,     4167.42 ,"Brinquedo"           ,"2019-10-23"     ,"Extraviado"
  50 ,"Sr. Leonardo Gomes"          ,     3066.97 ,"Brinquedo"           ,"2023-06-28"     ,"Em Devolução"
  51 ,"Anna Liz Abreu"              ,     3618.76 ,"Ferramenta"          ,"2022-07-26"     ,"Em Devolução"
  52 ,"Sra. Eduarda da Costa"       ,     3663.06 ,"Brinquedo"           ,"2020-05-03"     ,"Entregue"
  53 ,"Maria Flor Santos"           ,     2766.75 ,"Utensílio Doméstico" ,"2024-04-02"     ,"Entregue"
  54 ,"Maria Vitória Andrade"       ,     4195.92 ,"Brinquedo"           ,"2021-05-31"     ,"Em Devolução"
  56 ,"Enzo Machado"                ,     2236.74 ,"Brinquedo"           ,"2019-05-20"     ,"Devolvido"
  57 ,"Srta. Melissa Moura"         ,     2388.94 ,"Utensílio Doméstico" ,"2024-04-22"     ,"Entregue"
  58 ,"Agatha Andrade"              ,     3526.68 ,"Ferramenta"          ,"2021-12-19"     ,"Em Devolução"
  59 ,"Ravi Lucca Aragão"           ,     1374.65 ,"Utensílio Doméstico" ,"2023-11-08"     ,"Extraviado"
